Term,TermMasterID,TermID_dnu,Term_dnu,Path,TableID,ThesXrefTypeID,ThesXrefTableID,TermID3,PrimaryCNID,TermMasterID5,TermMasterID6
Royalston,1545856,2028282,Royalston,"Royalston, Worcester Co., Massachusetts, USA, North America",108,20,346,2028282,1545856,1545856,1
Strickland Quarry,1545857,2028283,Strickland Quarry,"Strickland Quarry, Portland, Middlesex Co., Connecticut, USA, North America",108,20,346,2028283,1545857,1545857,1
Afghanistan,1545858,2028284,Afghanistan,"Afghanistan, Asia",108,20,346,2028284,1545858,1545858,1
Chuichupa,1545859,2028285,Chuichupa,"Chuichupa, Chihuahua, Mexico, North America",108,20,346,2028285,1545859,1545859,1
Onganja,1545860,2028286,Onganja,"Onganja, Namibia, Africa",108,20,346,2028286,1545860,1545860,1
William Wise Mine,1545861,2028287,William Wise Mine,"William Wise Mine, Westmoreland, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028287,1545861,1545861,1
South Dakota,1545862,2028288,South Dakota,"South Dakota, USA, North America",108,20,346,2028288,1545862,1545862,1
Mozambique,1545864,2028290,Mozambique,"Mozambique, Africa",108,20,346,2028290,1545864,1545864,1
Nacala,1545865,2028291,Nacala,"Nacala, Mozambique, Africa",108,20,346,2028291,1545865,1545865,1
Agria Mine,1545866,2028292,Agria Mine,"Agria Mine, Nacala, Mozambique, Africa",108,20,346,2028292,1545866,1545866,1
Nuristan Province,1545867,2028293,Nuristan Province,"Nuristan Province, Afghanistan, Asia",108,20,346,2028293,1545867,1545867,1
Usakos,1545869,2028295,Usakos,"Usakos, Namibia, Africa",108,20,346,2028295,1545869,1545869,1
Barra Da Salinas,1545870,2028296,Barra Da Salinas,"Barra Da Salinas, Minas Gerais, Brazil, South America",108,20,346,2028296,1545870,1545870,1
Barra Da Salinas,1545871,2028297,Barra Da Salinas,"Barra Da Salinas, Barra Da Salinas, Minas Gerais, Brazil, South America",108,20,346,2028297,1545871,1545871,1
Sabaragamuwa,1545872,2028298,Sabaragamuwa,"Sabaragamuwa, Sri Lanka, Asia",108,20,346,2028298,1545872,1545872,1
Ratnapura,1545873,2028299,Ratnapura,"Ratnapura, Sabaragamuwa, Sri Lanka, Asia",108,20,346,2028299,1545873,1545873,1
Paridise,1545875,2028301,Paridise,"Paridise, RATNAPURA DISTRICT, Sri Lanka, Asia",108,20,346,2028301,1545875,1545875,1
Rist Mine,1545877,2028303,Rist Mine,"Rist Mine, Hiddenite, Alexander Co., North Carolina, USA, North America",108,20,346,2028303,1545877,1545877,1
Okkampitiya,1545878,2028304,Okkampitiya,"Okkampitiya, Sri Lanka, Asia",108,20,346,2028304,1545878,1545878,1
Minas Gerias,1545879,2028305,Minas Gerias,"Minas Gerias, Brazil, South America",108,20,346,2028305,1545879,1545879,1
Ontario,1545880,2028306,Ontario,"Ontario, Canada, North America",108,20,346,2028306,1545880,1545880,1
Madoc,1545881,2028307,Madoc,"Madoc, Ontario, Canada, North America",108,20,346,2028307,1545881,1545881,1
Montana,1545882,2028308,Montana,"Montana, USA, North America",108,20,346,2028308,1545882,1545882,1
Colombia 2,1545883,2028309,Colombia 2,"Colombia 2, South America",108,20,346,2028309,1545883,1545883,1
Alston Moor,1545884,2028310,Alston Moor,"Alston Moor, England, United Kingdom, Europe",108,20,346,2028310,1545884,1545884,1
Kawak,1545886,2028312,Kawak,"Kawak, ANRAS, Namibia, Africa",108,20,346,2028312,1545886,1545886,1
Illinois,1545887,2028313,Illinois,"Illinois, USA, North America",108,20,346,2028313,1545887,1545887,1
Africa,1545889,2028315,Africa,Africa,108,20,346,2028315,1545889,1545889,1
Rosiclare,1545890,2028316,Rosiclare,"Rosiclare, Illinois, USA, North America",108,20,346,2028316,1545890,1545890,1
Germany,1545891,2028317,Germany,"Germany, Europe",108,20,346,2028317,1545891,1545891,1
Gersdorf,1545892,2028318,Gersdorf,"Gersdorf, Germany, Europe",108,20,346,2028318,1545892,1545892,1
Chivor,1545893,2028319,Chivor,"Chivor, Colombia, South America",108,20,346,2028319,1545893,1545893,1
Chivor,1545894,2028320,Chivor,"Chivor, Chivor, Colombia, South America",108,20,346,2028320,1545894,1545894,1
Cumberland,1545895,2028321,Cumberland,"Cumberland, England, United Kingdom, Europe",108,20,346,2028321,1545895,1545895,1
British Columbia,1545896,2028322,British Columbia,"British Columbia, Canada, North America",108,20,346,2028322,1545896,1545896,1
Grand Forks,1545897,2028323,Grand Forks,"Grand Forks, British Columbia, Canada, North America",108,20,346,2028323,1545897,1545897,1
Bavaria,1545898,2028324,Bavaria,"Bavaria, Germany, Europe",108,20,346,2028324,1545898,1545898,1
Belgium,1545899,2028325,Belgium,"Belgium, Europe",108,20,346,2028325,1545899,1545899,1
France,1545900,2028326,France,"France, Europe",108,20,346,2028326,1545900,1545900,1
Mont Blanc,1545901,2028327,Mont Blanc,"Mont Blanc, France, Europe",108,20,346,2028327,1545901,1545901,1
Saxony,1545902,2028328,Saxony,"Saxony, Germany, Europe",108,20,346,2028328,1545902,1545902,1
Switzerland,1545903,2028329,Switzerland,"Switzerland, Europe",108,20,346,2028329,1545903,1545903,1
Goschenen,1545904,2028330,Goschenen,"Goschenen, Switzerland, Europe",108,20,346,2028330,1545904,1545904,1
Durham,1545907,2028333,Durham,"Durham, DURHAM, England, United Kingdom, Europe",108,20,346,2028333,1545907,1545907,1
Poland,1545908,2028334,Poland,"Poland, Androscoggin Co., Maine, USA, North America",108,20,346,2028334,1545908,1545908,1
Havey Quarry,1545909,2028335,Havey Quarry,"Havey Quarry, Poland, Androscoggin Co., Maine, USA, North America",108,20,346,2028335,1545909,1545909,1
Okurusu,1545911,2028337,Okurusu,"Okurusu, OKURUSU, Namibia, Africa",108,20,346,2028337,1545911,1545911,1
Kazachstan,1545912,2028338,Kazachstan,"Kazachstan, Ussr, Asia",108,20,346,2028338,1545912,1545912,1
Transvaal,1545917,2028343,Transvaal,"Transvaal, South Africa, Africa",108,20,346,2028343,1545917,1545917,1
Transvaal,1545918,2028344,Transvaal,"Transvaal, Transvaal, South Africa, Africa",108,20,346,2028344,1545918,1545918,1
Okurusu,1545921,2028347,Okurusu,"Okurusu, OKURUSU, South West Africa, Africa",108,20,346,2028347,1545921,1545921,1
Melrose Mine,1545922,2028348,Melrose Mine,"Melrose Mine, Stoneham, Oxford Co., Maine, USA, North America",108,20,346,2028348,1545922,1545922,1
Vermont,1545923,2028349,Vermont,"Vermont, USA, North America",108,20,346,2028349,1545923,1545923,1
Lowell,1545925,2028351,Lowell,"Lowell, Orleans, Vermont, USA, North America",108,20,346,2028351,1545925,1545925,1
Old Bluestone Quarry,1545928,2028354,Old Bluestone Quarry,"Old Bluestone Quarry, Acushnet, Bristol Co., Massachusetts, USA, North America",108,20,346,2028354,1545928,1545928,1
Hatchs Ledge,1545931,2028357,Hatchs Ledge,"Hatchs Ledge, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028357,1545931,1545931,1
Cumberland Co.,1545932,2028358,Cumberland Co.,"Cumberland Co., Maine, USA, North America",108,20,346,2028358,1545932,1545932,1
Hillsdale-Freeport,1545933,2028359,Hillsdale-Freeport,"Hillsdale-Freeport, Cumberland Co., Maine, USA, North America",108,20,346,2028359,1545933,1545933,1
Keith Quarry,1545935,2028361,Keith Quarry,"Keith Quarry, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028361,1545935,1545935,1
Newport,1545936,2028362,Newport,"Newport, New Hampshire, USA, North America",108,20,346,2028362,1545936,1545936,1
G.E.Smith Mine,1545937,2028363,G.E.Smith Mine,"G.E.Smith Mine, Newport, New Hampshire, USA, North America",108,20,346,2028363,1545937,1545937,1
Lane Quarry,1545938,2028364,Lane Quarry,"Lane Quarry, Westfield, Hampden Co., Massachusetts, USA, North America",108,20,346,2028364,1545938,1545938,1
Pulsifer Quarry,1545942,2028368,Pulsifer Quarry,"Pulsifer Quarry, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028368,1545942,1545942,1
Stony Mtn.,1545944,2028370,Stony Mtn.,"Stony Mtn., Winchester, New Hampshire, USA, North America",108,20,346,2028370,1545944,1545944,1
Denmark,1545945,2028371,Denmark,"Denmark, Oxford Co., Maine, USA, North America",108,20,346,2028371,1545945,1545945,1
Lord Hill,1545946,2028372,Lord Hill,"Lord Hill, Stoneham, Oxford Co., Maine, USA, North America",108,20,346,2028372,1545946,1545946,1
Oxford Co.,1545947,2028373,Oxford Co.,"Oxford Co., Maine, USA, North America",108,20,346,2028373,1545947,1545947,1
Paris,1545948,2028374,Paris,"Paris, Oxford Co., Maine, USA, North America",108,20,346,2028374,1545948,1545948,1
Seldon Quarry,1545950,2028376,Seldon Quarry,"Seldon Quarry, East Hampton, Middlesex Co., Connecticut, USA, North America",108,20,346,2028376,1545950,1545950,1
Swanson Mine,1545953,2028379,Swanson Mine,"Swanson Mine, East Hampton, Middlesex Co., Connecticut, USA, North America",108,20,346,2028379,1545953,1545953,1
Novotny Farm,1545955,2028381,Novotny Farm,"Novotny Farm, Higganum, Connecticut, USA, North America",108,20,346,2028381,1545955,1545955,1
Matara District,1545956,2028382,Matara District,"Matara District, Sri Lanka, Asia",108,20,346,2028382,1545956,1545956,1
Morgan Hill,1545957,2028383,Morgan Hill,"Morgan Hill, Santa Clara Co., California, USA, North America",108,20,346,2028383,1545957,1545957,1
Egypt,1545958,2028384,Egypt,"Egypt, Africa",108,20,346,2028384,1545958,1545958,1
Red Sea,1545959,2028385,Red Sea,"Red Sea, Egypt, Africa",108,20,346,2028385,1545959,1545959,1
ST. JOHN ISLAND [A.K.A.ZEBIRGET],1545960,2028386,ST. JOHN ISLAND [A.K.A.ZEBIRGET],"ST. JOHN ISLAND [A.K.A.ZEBIRGET], Red Sea, Egypt, Africa",108,20,346,2028386,1545960,1545960,1
Argentina,1545961,2028387,Argentina,"Argentina, South America",108,20,346,2028387,1545961,1545961,1
Conselheira Pena,1545964,2028390,Conselheira Pena,"Conselheira Pena, Minas Gerais, Brazil, South America",108,20,346,2028390,1545964,1545964,1
Picos De Europa,1545965,2028391,Picos De Europa,"Picos De Europa, Spain, Europe",108,20,346,2028391,1545965,1545965,1
Sonora,1545966,2028392,Sonora,"Sonora, Mexico, North America",108,20,346,2028392,1545966,1545966,1
Santa Cruz,1545967,2028393,Santa Cruz,"Santa Cruz, Sonora, Mexico, North America",108,20,346,2028393,1545967,1545967,1
Siam,1545968,2028394,Siam,"Siam, Thailand, Asia",108,20,346,2028394,1545968,1545968,1
Ceylon,1545969,2028395,Ceylon,"Ceylon, Asia",108,20,346,2028395,1545969,1545969,1
Siam,1545970,2028396,Siam,"Siam, Asia",108,20,346,2028396,1545970,1545970,1
Dunton Gem Pit,1545973,2028399,Dunton Gem Pit,"Dunton Gem Pit, Newry, Oxford Co., Maine, USA, North America",108,20,346,2028399,1545973,1545973,1
Governador Valadores,1545974,2028400,Governador Valadores,"Governador Valadores, Minas Gerais, Brazil, South America",108,20,346,2028400,1545974,1545974,1
Roebling Quarry,1545976,2028402,Roebling Quarry,"Roebling Quarry, Merryall, Connecticut, USA, North America",108,20,346,2028402,1545976,1545976,1
Phillipsburg,1545977,2028403,Phillipsburg,"Phillipsburg, Montana, USA, North America",108,20,346,2028403,1545977,1545977,1
Gem Mtn.,1545978,2028404,Gem Mtn.,"Gem Mtn., Phillipsburg, Montana, USA, North America",108,20,346,2028404,1545978,1545978,1
Springfield,1545979,2028405,Springfield,"Springfield, New Hampshire, USA, North America",108,20,346,2028405,1545979,1545979,1
Globe Mine,1545980,2028406,Globe Mine,"Globe Mine, Springfield, New Hampshire, USA, North America",108,20,346,2028406,1545980,1545980,1
Oregon,1545983,2028409,Oregon,"Oregon, USA, North America",108,20,346,2028409,1545983,1545983,1
