Locality,objectnum,Length
"Eulytin, Chukotka Mts., Far Eastern Russia",2020.7.2363,11
"Excelsior Mine, Cerro de Pasco Dist., Alcides Carrion Province, Ancash Department, Peru",2020.7.2710,11
"Exotica Mine, near Calama, El Loa Province, Antofagasta Region, Chile",2020.7.2644,11
"Falun Mine, Falun, Dalama, Sweden",2020.7.2806,11
"Faraday Mine, Bancroft, Ontario",2020.7.3210,11
"Fenhuang Co., Hunan Province, China   ",2020.7.3198,11
"Fletcher Mine, Viburnum Trend, Reynolds Co., Missouri",2020.7.2960,11
"Fowler Quarry, Franklin, Sussex Co., New Jersey (formerly Nicoll Quarry)",2020.7.2969,11
"Freiberg, Saxony, Germany",2020.7.2326,11
"Furnace Quarry, Franklin, Sussex Co., New Jersey",2020.7.2954,11
"Galbkka, near Vallivaya, Uva Province, Sri Lanka",2020.7.2343,11
"Gan Zhi Zhou Mine, Sichuan Province, China   ",2020.7.3184,11
"Gletch, Rhonegletscher, Switzerland",2020.7.2402,11
"Graneros Mine, Amolanas Mining Dist., Los Loros, Atacama District, Chile",2020.7.2655,11
"Graves Mountain, Georgia",2020.7.2850,11
"Hardangervidda, Hordaland, Norway",2020.7.2381,11
"Hecla Rosebud Mine, Pershing Co., Nevada",2020.7.2406,11
"Hengyang, Hunan Prov., China",2020.7.3034,11
"Herja Mine, Baia Mare, Maramures, Romania",2020.7.2903,11
"Hezhou, Guangxi Province, China",2020.7.2952,11
"Holloway Quarry, Monroe Co., Michigan",2020.7.2866,11
"Hongxi,Meigu Sichuan Province, China",2020.7.2973,11
"Hsianghualing, Linwe County, Hunan Province, China",2020.7.2927,11
"Huai Xi, Guangxi Province, China",2020.7.3125,11
"Huantajaya Mine, Iquique, Chile",2020.7.2528,11
"Humay Mine, Quebrada, Carbonera, Acari, Dept. Arequipa, Peru",2020.7.2707,11
"Idar-Oberstein, Germany",2020.7.2902,11
"Ilfeld, Harz Mts., Germany",2020.7.2414,11
"Imiter Mine, Djbel Sahro, 20 km from Ouarzazate, Anti-Atlas Mts., Morocco",2020.7.2859,11
"inner Mongolia, China   ",2020.7.3142,11
"Iquique, Atacama, Chile",2020.7.2639,11
"Jakobsberg Mine, Nordmark Filipstad, Varmland, Sweden",2020.7.2829,11
"Jardin Mine, near Copiapo, Chile",2020.7.2457,11
"Jiangxi Prov., China",2020.7.3194,11
"Junchaping Hg Mine, Tongren, West Hunan Prov., China",2020.7.3063,11
"Junnila Property, Clear Creek Dist., San Benito County, California",2020.7.2390,11
"Kambove, Katanga Prov, Congo",2020.7.2890,11
"Kerochen, Middle Atlas Mts., Morocco",2020.7.2337,11
"Kirengo, Rwanda",2020.7.2312,11
"Kitka River Valley, Kuusamo, NE Finland",2020.7.2828,11
"Kohnstein Quarry, Niedersachswerfen, Nordhausen, Harz, Thuringia, Germany",2020.7.2821,11
"Kolonna, Uva Province, Sri Lanka",2020.7.3206,11
"Kombat Mine, Otavi Mts., Namibia",2020.7.2372,11
"Kunming, Yunnan Province, China",2020.7.2941,11
"La Blanco Mine, Sector Quebradita, Freirina, Chile",2020.7.2614,11
"Lake Manyara, Tanzania",2020.7.2385,11
"Langban, Filipstad, Varmland, Sweden",2020.7.2851,11
"Leiping PbZn Mine, Leyang, Hunan Province, China",2020.7.2918,11
"Lengshuijiang Mine, Hsiu-Hua Dist., Hunan Province, China",2020.7.3189,11
"Leonard Mine, Butte, Silverbow Co., Montana",2020.7.2911,11
"Les Farges, Correze, France",2020.7.2901,11
"Leshan,Sichuan Province,China ",2020.7.2996,11
"Linashan, Guangdong Prov., China",2020.7.3007,11
"Lindi, Tanzania",2020.7.2370,11
"Linopolis, Minas Gerais, Brazil",2020.7.2403,11
"Little Badger Creek, Fremont County, Colorado",2020.7.2404,11
"Loachang Tin Mine, Gejiu, Yunnan Province, China",2020.7.3181,11
"Loschberg Basis Tunnel, Wallis, Switzerland",2020.7.2418,11
"Lovelock Mine, Churchill Co., Nevada",2020.7.2826,11
"Lu City, Henan Province, China",2020.7.3069,11
"Luishia, Katanga, Congo",2020.7.2830,11
"Lupoto Mine, Katanga Province, Congo",2020.7.2848,11
"MacDonald Mine, Hybla, ontario, Canada",2020.7.2884,11
"Magallanes Mine, Palest, Antofagasta Province, Chile",2020.7.2447,11
"Manto Cabriza, Copiapo, Chile",2020.7.2671,11
"Manto Cuba Mine, inca de Oro, Chile",2020.7.2444,11
"Manto Tres Gracias Mine, Diego de Almagro, Chile",2020.7.2550,11
"Mapimi, Durango, Mexico",2020.7.2881,11
"Mashamba West, Katanga, Congo",2020.7.2388,11
"Menkula, Yakutia, Siberia, Russia",2020.7.2858,11
"Men-Kyule, Tompo River Valley, 100 km NE of Khandyga, Sakha, Siberia, Russia",2020.7.2833,11
"Merelani, Near Arusha, Tanzania",2020.7.2356,11
"M'fouati, Bouenza Dist., Mindouli, Congo (French)",2020.7.2804,11
"Mianyang City, Sichuan Province, China",2020.7.3143,11
"Miguel Burnier, Minas Gerais, Brazil",2020.7.3212,11
"Millotingo Mine, Huarochiri Province, Lima Dept., Peru",2020.7.2684,11
"Mina Fresnillo, Zacatecas, Mexico",2020.7.2377,11
"Mina Huaquino, Potosi, Bolivia",2020.7.2897,11
"Mina Ivan, near Antofagasta, Chile",2020.7.2654,11
"Mina Julcani, Huancavelica, Peru",2020.7.2672,11
"Mina La Libertad, Quiruvilca, Peru",2020.7.2681,11
"Mina Margarita, Sierra Gorda, Atacama Desert, Region II, Chile",2020.7.2573,11
"Mina Ojuela, Mapimi, Durango, Mexico",2020.7.2358,11
"Minas de Panasqueira, Portugal",2020.7.2905,11
"Mine # 65, Dzhezkazgan, Kazakhstan",2020.7.2345,11
"Mine de Valenciana, Cerro de Chanarcillo, Copiapo, Atacama, Chile",2020.7.2633,11
"Mine La Motte, Reynolds County, Missouri",2020.7.2860,11
"Mines Delight Mine, Ophir Dist., Tooele Co., Utah",2020.7.2810,11
